Dates,Clusters,END DATE,PERLIS,KEDAH,P.PINANG,PERAK,SELANGOR,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP.LABUAN,WP.K.LUMPUR,WP.PUTRAJAYA,,TOTAL,
,,,,,,,,,,,,,,,,,,,,,
1-Mar-2020,PATIENT NO.26,8-Mar-2020,0,0,0,0,35,4,0,0,0,0,0,0,0,0,14,0,,53,
7-Mar-2020,PATIENT NO.33,10-Mar-2020,0,0,0,0,16,0,1,0,0,0,0,0,0,0,4,1,,22,
14-Mar-2020,SERI PETALING TABLIGH,8-Jul-2020,7,35,30,34,46,43,19,61,32,11,38,96,38,5,81,0,,576,3375
8-Apr-2020,SUB-CLUSTER SERI PETALING TABLIGH,,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,,27,
12-Apr-2020,SUB-CLUSTER MADRASAH(SERI PETALING TABLIGH CLUSTER),,0,0,6,0,90,0,37,0,62,0,0,0,0,0,0,0,,195,
13-Apr-2020,PUI BALI,,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,,43,
18-Apr-2020,HEALTHCARE WORKER(HCW),,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,,31,
19-Apr-2020,"MAGETAN,INDONESIAN STUDENTS",,0,0,0,0,0,0,34,0,0,0,0,0,0,0,9,0,,43,
22-Apr-2020,PENGERANG,,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,,15,
30-Apr-2020,"A RELIGIOUS GATHERING IN CHURCH,KUCHING",23-Jun-2020,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,,191,
30-Apr-2020,PUI ITALY,,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,,63,
30-Apr-2020,HOSPITAL UMUM SARAWAK(HUS),,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,,56,
5-May-2020,PASAR BORONG(WHOLESALE MARKET) KL,,0,0,0,0,24,5,0,0,0,0,0,0,0,0,100,0,,129,180
5-May-2020,EMCO LOCALITIES P1,,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,,52,
7-May-2020,CHERAS SECURITY GUARDS,23-June-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,,39,
8-May-2020,PEDAS,,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,,326,
9-May-2020,SETIA ALAM SITES CONSTRUCTION,,0,0,0,0,13,0,0,0,0,0,0,0,,0,104,0,,117,
10-May-2020,EMCO LOCALITIES P2,,0,0,0,0,79,0,0,0,0,0,0,0,0,0,195,0,,274,
10-May-2020,PUDU,4-July-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,,80,
14-May-2020,MADRASAH,,0,0,6,0,172,0,45,0,90,0,0,0,0,0,0,0,,313,635
18-May-2020,GOMBAK,5-July-2020,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,5,
21-May-2020,IMMIGRATION DETENTION CENTRE (DTI),,0,0,0,0,138,0,0,0,0,0,0,0,0,0,649,2,,789,
29-May-2020,CLEANING COMPANY,,0,0,0,0,30,4,0,0,0,0,0,0,0,0,4,0,,38,
2-June-2020,CHERAS APARTMENT BLOCK,5-July-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,,8,
15-June-2020,SENIOR CARE CENTER,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,7,
17-June-2020,DEAD AT HOME(MDR),,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,3,
19-June-2020,KIDURONG,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,6,
20-June-2020,LANJUT,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,5,
24-June-2020,BUKIT BINTANG,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,,11,
24-June-2020,KUCHING SITES CONSTRUCTION,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,4,
24-June-2020,HULU LANGAT CONDOMINIUM,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,3,
12-July-2020,ENGINEERING KUCHING,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,
13-July-2020,NOVGOROD PUI,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,5,
17-July-2020,PITAKWA PUI,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,2,
17-July-2020,SHIRALA PUI,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,
17-July-2020,KUCHING MEDICAL CENTRE,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,
17-July-2020,JUPITER,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,3,
18-July-2020,STUTONG,22-February-2021,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,
18-July-2020,MAMBONG,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,7,
19-July-2020,SEPANG RUMAH KONGSI,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,
19-July-2020,THE KL RESTAURANT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,2,
19-July-2020,THE KUCHING JETTY,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,
20-July-2020,KLUANG ELDERLY CARE HOME,,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,,14,
21-July-2020,SENTOSA,,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,,31,
22-July-2020,THE HYDE PARK ,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,4,
22-July-2020,MELBOURNE PUI,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,2,
24-July-2020,ELSA,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,3,
24-July-2020,RAMNAD PUI,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,
24-July-2020,AL-KHOBAR PUI,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
25-July-2020,BUKIT TIRAM(CATHOLIC CHURCH),,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,,10,
28-July-2020,THE SIVAGANGGA PUI,,11,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,45,
28-July-2020,SATOK,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,4,
9-August-2020,KURAU,,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,5,
9-August-2020,MERANTI,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,2,
