DATE,,PUI,,,DAILY CASES,,,,,DISCHARGED,,,ACTIVE(COVID-19 INFECTION),,   ,ICU,,,DEATH,
,,DAILY,TOTAL,,LOCAL,IMPORT,DAILY(TOTAL),TOTAL,,DAILY,TOTAL,,DAILY,TOTAL,,DAILY,TOTAL,,DAILY,TOTAL
1/25/2020,,0,0,,0,4,4,4,,0,0,,4,4,,0,0, ,0,0
1/26/2020,,23,23,,0,0,0,4,,0,0,,0,4,,0,0,,0,0
1/27/2020,,55,78,,0,0,0,4,,0,0,,0,4,,0,0,,0,0
1/28/2020,,0,78,,0,0,0,4,,0,0,,0,4,,0,0,,0,0
1/29/2020,,0,78,,0,3,3,7,,0,0,,3,7,,0,0,,0,0
1/30/2020,,0,78,,0,1,1,8,,0,0,,1,8,,0,0,,0,0
1/31/2020,,11,89,,0,0,0,8,,0,0,,0,8,,0,0,,0,0
2/1/2020,,53,142,,0,0,0,8,,0,0,,0,8,,0,0,,0,0
2/2/2020,,0,142,,0,0,0,8,,0,0,,0,8,,0,0,,0,0
2/3/2020,,0,142,,0,0,0,8,,0,0,,0,8,,0,0,,0,0
2/4/2020,,0,142,,0,2,2,10,,1,1,,1,9,,0,0,,0,0
2/5/2020,,0,142,,0,2,2,12,,0,1,,2,11,,0,0,,0,0
2/6/2020,,0,142,,1,1,2,14,,0,1,,2,13,,0,0,,0,0
2/7/2020,,0,142,,0,1,1,15,,0,1,,1,14,,0,0,,0,0
2/8/2020,,0,142,,0,1,1,16,,1,2,,0,14,,0,0,,0,0
2/9/2020,,223,365,,1,0,1,17,,1,3,,0,14,,0,0,,0,0
2/10/2020,,0,365,,0,1,1,18,,0,3,,1,15,,0,0,,0,0
2/11/2020,,0,365,,0,0,0,18,,0,3,,0,15,,0,0,,0,0
2/12/2020,,0,365,,0,0,0,18,,0,3,,0,15,,0,0,,0,0
2/13/2020,,0,365,,0,1,1,19,,0,3,,1,16,,0,0,,0,0
2/14/2020,,0,365,,0,0,0,19,,4,7,,-4,12,,0,0,,0,0
2/15/2020,,142,507,,0,3,3,22,,1,8,,2,14,,0,0,,0,0
2/16/2020,,0,507,,0,0,0,22,,0,8,,0,14,,0,0,,0,0
2/17/2020,,0,507,,0,0,0,22,,1,9,,-1,13,,0,0,,0,0
2/18/2020,,0,507,,0,0,0,22,,4,13,,-4,9,,0,0,,0,0
2/19/2020,,0,507,,0,0,0,22,,4,17,,-4,5,,0,0,,0,0
2/20/2020,,0,507,,0,0,0,22,,0,17,,0,5,,0,0,,0,0
2/21/2020,,0,507,,0,0,0,22,,0,17,,0,5,,0,0,,0,0
2/22/2020,,0,507,,0,0,0,22,,1,18,,-1,4,,0,0,,0,0
2/23/2020,,0,507,,0,0,0,22,,2,20,,-2,2,,0,0,,0,0
2/24/2020,,0,507,,0,0,0,22,,0,20,,0,2,,0,0,,0,0
2/25/2020,,289,796,,0,0,0,22,,0,20,,0,2,,0,0,,0,0
2/26/2020,,0,796,,0,0,0,22,,0,20,,0,2,,0,0,,0,0
2/27/2020,,0,796,,0,1,1,23,,2,22,,-1,1,,0,0,,0,0
2/28/2020,,0,796,,0,2,2,25,,0,22,,2,3,,0,0,,0,0
2/29/2020,,0,796,,0,0,0,25,,0,22,,0,3,,0,0,,0,0
3/1/2020,,0,796,,2,2,4,29,,0,22,,4,7,,0,0,,0,0
3/2/2020,,0,796,,0,0,0,29,,0,22,,0,7,,0,0,,0,0
3/3/2020,,0,796,,2,5,7,36,,0,22,,7,14,,0,0,,0,0
3/4/2020,,0,796,,14,0,14,50,,0,22,,14,28,,0,0,,0,0
3/5/2020,,378,1174,,5,0,5,55,,0,22,,5,33,,0,0,,0,0
3/6/2020,,0,1174,,28,0,28,83,,1,23,,27,60,,0,0,,0,0
3/7/2020,,0,1174,,10,0,10,93,,0,23,,10,70,,0,0,,0,0
3/8/2020,,0,1174,,6,0,6,99,,1,24,,5,75,,0,0,,0,0
3/9/2020,,0,1174,,18,0,18,117,,0,24,,18,93,,0,0,,0,0
3/10/2020,,0,1174,,12,0,12,129,,1,25,,11,104,,0,0,,0,0
3/11/2020,,0,1174,,20,0,20,149,,1,26,,19,123,,0,0,,0,0
3/12/2020,,0,1174,,9,0,9,158,,6,32,,3,126,,0,0,,0,0
3/13/2020,,0,1174,,39,0,39,197,,0,32,,39,165,,4,4,,0,0
3/14/2020,,0,1174,,41,0,41,238,,2,34,,39,204,,1,5,,0,0
3/15/2020,,0,1174,,190,0,190,428,,7,41,,183,387,,4,9,,0,0
3/16/2020,,0,1174,,125,0,125,553,,1,42,,124,511,,3,12,,0,0
3/17/2020,,0,1174,,120,0,120,673,,7,49,,111,622,,0,12,,2,2
3/18/2020,,0,1174,,117,0,117,790,,11,60,,106,728,,3,15,,0,2
3/19/2020,,0,1174,,110,0,110,900,,15,75,,95,823,,5,20,,0,2
3/20/2020,,0,1174,,130,0,130,1030,,12,87,,118,941,,0,20,,0,2
3/21/2020,,0,1174,,153,0,153,1183,,27,114,,124,1065,,17,37,,2,4
3/22/2020,,0,1174,,123,0,123,1306,,25,139,,92,1157,,9,46,,6,10
3/23/2020,,0,1174,,212,0,212,1518,,20,159,,188,1345,,11,57,,4,14
3/24/2020,,0,1174,,106,0,106,1624,,24,183,,81,1426,,7,64,,1,15
3/25/2020,,0,1174,,172,0,172,1796,,16,199,,152,1578,,-19,45,,4,19
3/26/2020,,0,1174,,235,0,235,2031,,16,215,,215,1793,,0,45,,4,23
3/27/2020,,0,1174,,130,0,130,2161,,44,259,,83,1876,,9,54,,3,26
3/28/2020,,0,1174,,159,0,159,2320,,61,320,,97,1973,,19,73,,1,27
3/29/2020,,0,1174,,150,0,150,2470,,68,388,,75,2048,,0,73,,7,34
3/30/2020,,0,1174,,156,0,156,2626,,91,479,,62,2110,,21,94,,3,37
3/31/2020,,0,1174,,140,0,140,2766,,58,537,,76,2186,,0,94,,6,43
4/1/2020,,0,1174,,142,0,142,2908,,108,645,,32,2218,,8,102,,2,45
4/2/2020,,0,1174,,208,0,208,3116,,122,767,,81,2299,,3,105,,5,50
4/3/2020,,0,1174,,217,0,217,3333,,60,827,,154,2453,,3,108,,3,53
4/4/2020,,0,1174,,150,0,150,3483,,88,915,,58,2511,,-9,99,,4,57
4/5/2020,,0,1174,,179,0,179,3662,,90,1005,,85,2596,,0,99,,4,61
4/6/2020,,0,1174,,131,0,131,3793,,236,1241,,-106,2490,,3,102,,1,62
4/7/2020,,0,1174,,170,0,170,3963,,80,1321,,89,2579,,-10,92,,1,63
4/8/2020,,0,1174,,156,0,156,4119,,166,1487,,-12,2567,,-16,76,,2,65
4/9/2020,,0,1174,,109,0,109,4228,,121,1608,,-14,2553,,-4,72,,2,67
4/10/2020,,0,1174,,118,0,118,4346,,222,1830,,-107,2446,,-3,69,,3,70
4/11/2020,,0,1174,,184,0,184,4530,,165,1995,,16,2462,,3,72,,3,73
4/12/2020,,0,1174,,153,0,153,4683,,113,2108,,37,2499,,-6,66,,3,76
4/13/2020,,0,1174,,134,0,134,4817,,168,2276,,-35,2464,,0,66,,1,77
4/14/2020,,0,1174,,170,0,170,4987,,202,2478,,-37,2427,,-6,60,,5,82
4/15/2020,,0,1174,,85,0,85,5072,,169,2647,,-85,2342,,-4,56,,1,83
4/16/2020,,0,1174,,110,0,110,5182,,119,2766,,-10,2332,,0,56,,1,84
4/17/2020,,0,1174,,69,0,69,5251,,201,2967,,-134,2198,,-5,51,,2,86
4/18/2020,,0,1174,,54,0,54,5305,,135,3102,,-83,2115,,-2,49,,2,88
4/19/2020,,0,1174,,84,0,84,5389,,95,3197,,-12,2103,,-3,46,,1,89
4/20/2020,,0,1174,,36,0,36,5425,,98,3295,,-62,2041,,-1,45,,0,89
4/21/2020,,0,1174,,39,18,57,5482,,54,3349,,0,2041,,-2,43,,3,92
4/22/2020,,0,1174,,50,0,50,5532,,103,3452,,-54,1987,,0,43,,1,93
4/23/2020,,0,1174,,71,0,71,5603,,90,3542,,-21,1966,,-1,42,,2,95
4/24/2020,,0,1174,,75,13,88,5691,,121,3663,,-34,1932,,-1,41,,1,96
4/25/2020,,0,1174,,48,3,51,5742,,99,3762,,-50,1882,,-5,36,,2,98
4/26/2020,,0,1174,,33,5,38,5780,,100,3862,,-62,1820,,0,36,,0,98
4/27/2020,,0,1174,,35,5,40,5820,,95,3957,,-56,1764,,1,37,,1,99
4/28/2020,,0,1174,,21,10,31,5851,,75,4032,,-45,1719,,-1,36,,1,100
4/29/2020,,0,1174,,22,72,94,5945,,55,4087,,39,1758,,4,40,,0,100
4/30/2020,,0,1174,,32,25,57,6002,,84,4171,,-29,1729,,-4,36,,2,102
5/1/2020,,0,1174,,57,12,69,6071,,39,4210,,29,1758,,1,37,,1,103
5/2/2020,,2333,3507,,94,11,105,6176,,116,4326,,-11,1747,,-6,31,,0,103
5/3/2020,,,,,70,52,122,6298,,87,4413,,33,1780,,-4,27,,2,105
5/4/2020,,,,,48,7,55,6353,,71,4484,,-16,1764,,1,28,,0,105
5/5/2020,,,,,30,0,30,6383,,83,4567,,-54,1710,,-4,24,,1,106
5/6/2020,,,,,44,1,45,6428,,135,4702,,-91,1619,,-2,22,,1,107
5/7/2020,,,,,38,1,39,6467,,74,4776,,-35,1584,,-3,19,,0,107
5/8/2020,,,,,64,4,68,6535,,88,4864,,-20,1564,,-1,18,,0,107
5/9/2020,,,,,53,1,54,6589,,65,4929,,-12,1552,,0,18,,1,108
5/10/2020,,,,,67,0,67,6656,,96,5025,,-29,1523,,0,18,,0,108
5/11/2020,,,,,70,0,70,6726,,88,5113,,-19,1504,,2,20,,1,109
5/12/2020,,,,,13,3,16,6742,,110,5223,,-94,1410,,-4,16,,0,109
5/13/2020,,,,,33,4,37,6779,,58,5281,,-23,1387,,0,16,,2,111
5/14/2020,,,,,40,0,40,6819,,70,5351,,-31,1356,,0,16,,1,112
5/15/2020,,,,,36,0,36,6855,,88,5439,,-52,1304,,-2,14,,0,112
5/16/2020,,,,,11,6,17,6872,,73,5512,,-57,1247,,-1,13,,1,113
5/17/2020,,,,,17,5,22,6894,,59,5571,,-37,1210,,0,13,,0,113
5/18/2020,,,,,26,21,47,6941,,44,5615,,3,1213,,0,13,,0,113
5/19/2020,,,,,35,2,37,6978,,31,5646,,5,1218,,-2,11,,1,114
5/20/2020,,,,,21,10,31,7009,,60,5706,,-29,1189,,0,11,,0,114
5/21/2020,,,,,47,3,50,7059,,90,5796,,-40,1149,,-1,10,,0,114
5/22/2020,,,,,53,25,78,7137,,63,5859,,14,1163,,-1,9,,1,115
5/23/2020,,,,,44,4,48,7185,,53,5912,,-5,1158,,0,9,,0,115
5/24/2020,,,,,53,7,60,7245,,33,5945,,27,1185,,0,9,,0,115
5/25/2020,,,,,167,5,172,7417,,34,5979,,138,1323,,-1,8,,0,115
5/26/2020,,,,,177,10,187,7604,,62,6041,,125,1448,,0,8,,0,115
5/27/2020,,,,,9,6,15,7619,,42,6083,,-27,1421,,0,8,,0,115
5/28/2020,,,,,10,0,10,7629,,86,6169,,-76,1345,,0,8,,0,115
5/29/2020,,,,,96,7,103,7732,,66,6235,,37,1382,,0,8,,0,115
5/30/2020,,,,,27,3,30,7762,,95,6330,,-65,1317,,1,9,,0,115
5/31/2020,,,,,47,10,57,7819,,23,6353,,34,1351,,0,9,,0,115
6/1/2020,,,,,12,26,38,7857,,51,6404,,-13,1338,,-1,8,,0,115
6/2/2020,,,,,5,15,20,7877,,66,6470,,-46,1292,,-2,6,,0,115
6/3/2020,,,,,93,0,93,7970,,61,6531,,32,1324,,0,6,,0,115
6/4/2020,,,,,275,2,277,8247,,28,6559,,249,1573,,0,6,,0,115
6/5/2020,,,,,12,7,19,8266,,51,6610,,-33,1540,,0,6,,1,116
6/6/2020,,,,,29,8,37,8303,,25,6635,,11,1551,,-1,5,,1,117
6/7/2020,,,,,13,6,19,8322,,39,6674,,-20,1531,,0,5,,0,117
6/8/2020,,,,,5,2,7,8329,,20,6694,,-13,1518,,1,6,,0,117
6/9/2020,,,,,1,6,7,8336,,281,6975,,-274,1244,,0,6,,0,117
6/10/2020,,,,,1,1,2,8338,,39,7014,,-38,1206,,-1,5,,1,118
6/11/2020,,,,,20,11,31,8369,,51,7065,,-20,1186,,0,5,,0,118
