DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
1/25/2020,0,4,4,4,4,4,0,0,0,0
1/26/2020,0,0,0,4,0,4,0,0,0,0
1/27/2020,0,0,0,4,0,4,0,0,0,0
1/28/2020,0,0,0,4,0,4,0,0,0,0
1/29/2020,0,1,1,5,1,5,0,0,0,0
1/30/2020,0,1,1,6,1,6,0,0,0,0
1/31/2020,0,0,0,6,0,6,0,0,0,0
2/1/2020,0,0,0,6,0,6,0,0,0,0
2/2/2020,0,0,0,6,0,6,0,0,0,0
2/3/2020,0,0,0,6,0,6,0,0,0,0
2/4/2020,0,0,0,6,0,6,0,0,0,0
2/5/2020,0,0,0,6,0,6,0,0,0,0
2/6/2020,0,0,0,6,0,6,0,0,0,0
2/7/2020,0,1,1,7,1,7,0,0,0,0
2/8/2020,0,0,0,7,-1,6,1,1,0,0
2/9/2020,0,0,0,7,0,6,0,1,0,0
2/10/2020,0,0,0,7,0,6,0,1,0,0
2/11/2020,0,0,0,7,0,6,0,1,0,0
2/12/2020,0,0,0,7,0,6,0,1,0,0
2/13/2020,0,0,0,7,0,6,0,1,0,0
2/14/2020,0,0,0,7,-4,2,4,5,0,0
2/15/2020,0,0,0,7,-1,1,1,6,0,0
2/16/2020,0,0,0,7,0,1,0,6,0,0
2/17/2020,0,0,0,7,0,1,0,6,0,0
2/18/2020,0,0,0,7,-2,-1,2,8,0,0
2/19/2020,0,0,0,7,0,-1,0,8,0,0
2/20/2020,0,0,0,7,0,-1,0,8,0,0
2/21/2020,0,0,0,7,0,-1,0,8,0,0
2/22/2020,0,0,0,7,0,-1,0,8,0,0
2/23/2020,0,0,0,7,0,-1,0,8,0,0
2/24/2020,0,0,0,7,0,-1,0,8,0,0
2/25/2020,0,0,0,7,0,-1,0,8,0,0
2/26/2020,0,0,0,7,0,-1,0,8,0,0
2/27/2020,0,0,0,7,0,-1,0,8,0,0
2/28/2020,0,0,0,7,0,-1,0,8,0,0
2/29/2020,0,0,0,7,0,-1,0,8,0,0
3/1/2020,0,0,0,7,0,-1,0,8,0,0
3/2/2020,0,0,0,7,0,-1,0,8,0,0
3/3/2020,0,0,0,7,0,-1,0,8,0,0
3/4/2020,0,0,0,7,0,-1,0,8,0,0
3/5/2020,0,0,0,7,0,-1,0,8,0,0
3/6/2020,0,0,0,7,0,-1,0,8,0,0
3/7/2020,0,0,0,7,0,-1,0,8,0,0
3/8/2020,0,0,0,7,0,-1,0,8,0,0
3/9/2020,0,0,0,7,0,-1,0,8,0,0
3/10/2020,0,0,0,7,0,-1,0,8,0,0
3/11/2020,9,0,9,16,9,8,0,8,0,0
3/12/2020,0,0,0,16,0,8,0,8,0,0
3/13/2020,0,0,0,16,0,8,0,8,0,0
3/14/2020,5,0,5,21,5,13,0,8,0,0
3/15/2020,19,0,19,40,19,32,0,8,0,0
3/16/2020,12,0,12,52,12,44,0,8,0,0
3/17/2020,23,0,23,75,22,66,0,8,1,1
3/18/2020,13,0,13,88,13,79,0,8,0,1
3/19/2020,13,0,13,101,13,92,0,8,0,1
3/20/2020,13,0,13,114,12,104,1,9,0,1
3/21/2020,15,0,15,129,15,119,0,9,0,1
3/22/2020,16,0,16,145,16,135,0,9,0,1
3/23/2020,13,0,13,158,12,147,0,9,1,2
3/24/2020,4,0,4,162,3,150,0,9,1,3
3/25/2020,34,0,34,196,31,181,0,9,3,6
3/26/2020,43,0,43,239,35,216,7,16,1,7
3/27/2020,20,0,20,259,18,234,2,18,0,7
3/28/2020,26,0,26,285,12,246,13,31,1,8
3/29/2020,24,0,24,309,21,267,1,32,2,10
3/30/2020,24,0,24,333,16,283,8,40,0,10
3/31/2020,16,0,16,349,11,294,4,44,1,11
4/1/2020,19,0,19,368,9,303,10,54,0,11
4/2/2020,27,0,27,395,-7,296,31,85,3,14
4/3/2020,21,0,21,416,21,317,0,85,0,14
4/4/2020,6,0,6,422,6,323,0,85,0,14
4/5/2020,16,0,16,438,-33,290,49,134,0,14
4/6/2020,30,0,30,468,8,298,22,156,0,14
4/7/2020,10,0,10,478,7,305,2,158,1,15
4/8/2020,18,0,18,496,5,310,13,171,0,15
