DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
1/25/2020,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,1,1,1,1,1,0,0,0,0
1/30/2020,0,0,0,1,0,1,0,0,0,0
1/31/2020,0,0,0,1,0,1,0,0,0,0
2/1/2020,0,0,0,1,0,1,0,0,0,0
2/2/2020,0,0,0,1,0,1,0,0,0,0
2/3/2020,0,0,0,1,0,1,0,0,0,0
2/4/2020,0,0,0,1,0,1,0,0,0,0
2/5/2020,0,0,0,1,-1,0,1,1,0,0
2/6/2020,1,0,1,2,1,1,0,1,0,0
2/7/2020,0,0,0,2,0,1,0,1,0,0
2/8/2020,0,0,0,2,0,1,0,1,0,0
2/9/2020,0,0,0,2,0,1,0,1,0,0
2/10/2020,0,0,0,2,0,1,0,1,0,0
2/11/2020,0,0,0,2,0,1,0,1,0,0
2/12/2020,0,0,0,2,0,1,0,1,0,0
2/13/2020,0,0,0,2,0,1,0,1,0,0
2/14/2020,0,2,2,4,2,3,0,1,0,0
2/15/2020,0,0,0,4,0,3,0,1,0,0
2/16/2020,0,0,0,4,0,3,0,1,0,0
2/17/2020,0,0,0,4,0,3,0,1,0,0
2/18/2020,0,0,0,4,0,3,0,1,0,0
2/19/2020,0,0,0,4,-1,2,1,2,0,0
2/20/2020,0,0,0,4,0,2,0,2,0,0
2/21/2020,0,0,0,4,0,2,0,2,0,0
2/22/2020,0,0,0,4,-1,1,1,3,0,0
2/23/2020,0,0,0,4,0,1,0,3,0,0
2/24/2020,0,0,0,4,0,1,0,3,0,0
2/25/2020,0,0,0,4,0,1,0,3,0,0
2/26/2020,0,0,0,4,0,1,0,3,0,0
2/27/2020,0,0,0,4,0,1,0,3,0,0
2/28/2020,0,0,0,4,0,1,0,3,0,0
2/29/2020,0,0,0,4,0,1,0,3,0,0
3/1/2020,0,0,0,4,0,1,0,3,0,0
3/2/2020,0,0,0,4,0,1,0,3,0,0
3/3/2020,0,0,0,4,0,1,0,3,0,0
3/4/2020,0,0,0,4,0,1,0,3,0,0
3/5/2020,0,0,0,4,0,1,0,3,0,0
3/6/2020,0,0,0,4,0,1,0,3,0,0
3/7/2020,0,0,0,4,0,1,0,3,0,0
3/8/2020,0,0,0,4,0,1,0,3,0,0
3/9/2020,0,0,0,4,0,1,0,3,0,0
3/10/2020,0,0,0,4,0,1,0,3,0,0
3/11/2020,0,0,0,4,0,1,0,3,0,0
3/12/2020,0,0,0,4,0,1,0,3,0,0
3/13/2020,1,0,1,5,1,2,0,3,0,0
3/14/2020,1,0,1,6,1,3,0,3,0,0
3/15/2020,13,0,13,19,13,16,0,3,0,0
3/16/2020,12,0,12,31,12,28,0,3,0,0
3/17/2020,0,0,0,31,0,28,0,3,0,0
3/18/2020,5,0,5,36,5,33,0,3,0,0
3/19/2020,4,0,4,40,4,37,0,3,0,0
3/20/2020,1,0,1,41,1,38,0,3,0,0
3/21/2020,6,0,6,47,6,44,0,3,0,0
3/22/2020,5,0,5,52,3,47,2,5,0,0
3/23/2020,7,0,7,59,7,54,0,5,0,0
3/24/2020,5,0,5,64,5,59,0,5,0,0
3/25/2020,5,0,5,69,5,64,0,5,0,0
3/26/2020,3,0,3,72,2,66,0,5,1,1
3/27/2020,1,0,1,73,0,66,1,6,0,1
3/28/2020,1,0,1,74,-5,61,6,12,0,1
3/29/2020,1,0,1,75,-3,58,4,16,0,1
3/30/2020,2,0,2,77,2,60,0,16,0,1
3/31/2020,0,0,0,77,-6,54,6,22,0,1
4/1/2020,2,0,2,79,2,56,0,22,0,1
4/2/2020,1,0,1,80,-2,54,3,25,0,1
4/3/2020,1,0,1,81,1,55,0,25,0,1
4/4/2020,0,0,0,81,-10,45,10,35,0,1
4/5/2020,1,0,1,82,1,46,0,35,0,1
4/6/2020,3,0,3,85,-4,42,7,42,0,1
4/7/2020,5,0,5,90,5,47,0,42,0,1
4/8/2020,1,0,1,91,-13,34,14,56,0,1
4/9/2020,2,0,2,93,2,36,0,56,0,1
4/10/2020,0,0,0,93,0,36,0,56,0,1
4/11/2020,0,0,0,93,0,36,0,56,0,1
4/12/2020,0,0,0,93,-6,30,6,62,0,1
4/13/2020,0,0,0,93,0,30,0,62,0,1
4/14/2020,0,0,0,93,-2,28,2,64,0,1
4/15/2020,1,0,1,94,1,29,0,64,0,1
4/16/2020,0,0,0,94,-6,23,6,70,0,1
4/17/2020,0,0,0,94,-1,22,1,71,0,1
4/18/2020,0,0,0,94,0,22,0,71,0,1
4/19/2020,0,0,0,94,-5,17,5,76,0,1
