DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,3,0,3,3,3,3,0,0,0,0
14/3/2020,0,0,0,3,0,3,0,0,0,0
15/3/2020,8,0,8,11,8,11,0,0,0,0
16/3/2020,7,0,7,18,7,18,0,0,0,0
17/3/2020,7,0,7,25,7,25,0,0,0,0
18/3/2020,5,0,5,30,5,30,0,0,0,0
19/3/2020,14,0,14,44,14,44,0,0,0,0
20/3/2020,7,0,7,51,7,51,0,0,0,0
21/3/2020,10,0,10,61,10,61,0,0,0,0
22/3/2020,2,0,2,63,1,62,0,0,1,1
23/3/2020,8,0,8,71,8,70,0,0,0,1
24/3/2020,7,0,7,78,7,77,0,0,0,1
25/3/2020,6,0,6,84,6,83,0,0,0,1
26/3/2020,10,0,10,94,9,92,0,0,1,2
27/3/2020,4,0,4,98,4,96,0,0,0,2
28/3/2020,10,0,10,108,10,106,0,0,0,2
29/3/2020,15,0,15,123,15,121,0,0,0,2
30/3/2020,4,0,4,127,3,124,1,1,0,2
31/3/2020,4,0,4,131,4,128,0,1,0,2
1/4/2020,3,0,3,134,3,131,0,1,0,2
2/4/2020,3,0,3,137,-6,125,9,10,0,2
3/4/2020,0,0,0,137,-7,118,7,17,0,2
4/4/2020,2,0,2,139,-38,80,39,56,1,3
5/4/2020,2,0,2,141,1,81,1,57,0,3
6/4/2020,1,0,1,142,1,82,0,57,0,3
7/4/2020,5,0,5,147,5,87,0,57,0,3
8/4/2020,0,0,0,147,-26,61,26,83,0,3
9/4/2020,1,0,1,148,1,62,0,83,0,3
10/4/2020,1,0,1,149,1,63,0,83,0,3
11/4/2020,2,0,2,151,2,65,0,83,0,3
12/4/2020,1,0,1,152,1,66,0,83,0,3
13/4/2020,2,0,2,154,2,68,0,83,0,3
14/4/2020,0,0,0,154,-41,27,41,124,0,3
15/4/2020,0,0,0,154,-9,18,9,133,0,3
16/4/2020,1,0,1,155,1,19,0,133,0,3
17/4/2020,0,0,0,155,0,19,0,133,0,3
18/4/2020,0,0,0,155,-8,11,8,141,0,3
19/4/2020,0,0,0,155,0,11,0,141,0,3
20/4/2020,0,0,0,155,0,11,0,141,0,3
21/4/2020,0,0,0,155,0,11,0,141,0,3
22/4/2020,0,0,0,155,0,11,0,141,0,3
23/4/2020,0,0,0,155,0,11,0,141,0,3
24/4/2020,0,0,0,155,0,11,0,141,0,3
25/4/2020,0,0,0,155,0,11,0,141,0,3
