DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,1,1,1,1,1,0,0,0,0
5/2/2020,0,0,0,1,0,1,0,0,0,0
6/2/2020,0,1,1,2,1,2,0,0,0,0
7/2/2020,0,0,0,2,0,2,0,0,0,0
8/2/2020,0,1,1,3,1,3,0,0,0,0
9/2/2020,0,0,0,3,-1,2,1,1,0,0
10/2/2020,0,0,0,3,0,2,0,1,0,0
11/2/2020,0,0,0,3,0,2,0,1,0,0
12/2/2020,0,0,0,3,0,2,0,1,0,0
13/2/2020,0,1,1,4,1,3,0,1,0,0
14/2/2020,0,0,0,4,0,3,0,1,0,0
15/2/2020,0,0,0,4,0,3,0,1,0,0
16/2/2020,0,0,0,4,0,3,0,1,0,0
17/2/2020,0,0,0,4,0,3,0,1,0,0
18/2/2020,0,0,0,4,0,3,0,1,0,0
19/2/2020,0,0,0,4,0,3,0,1,0,0
20/2/2020,0,0,0,4,0,3,0,1,0,0
21/2/2020,0,0,0,4,0,3,0,1,0,0
22/2/2020,0,0,0,4,0,3,0,1,0,0
23/2/2020,0,0,0,4,0,3,0,1,0,0
24/2/2020,0,0,0,4,-2,1,2,3,0,0
25/2/2020,0,0,0,4,0,1,0,3,0,0
26/2/2020,0,0,0,4,0,1,0,3,0,0
27/2/2020,0,1,1,5,0,1,1,4,0,0
28/2/2020,0,1,1,6,1,2,0,4,0,0
29/2/2020,0,0,0,6,0,2,0,4,0,0
1/3/2020,1,0,1,7,1,3,0,4,0,0
2/3/2020,0,0,0,7,0,3,0,4,0,0
3/3/2020,1,0,1,8,1,4,0,4,0,0
4/3/2020,4,0,4,12,3,7,1,5,0,0
5/3/2020,2,0,2,14,2,9,0,5,0,0
6/3/2020,12,0,12,26,12,21,0,5,0,0
7/3/2020,0,0,0,26,-1,20,1,6,0,0
8/3/2020,0,0,0,26,0,20,0,6,0,0
9/3/2020,0,0,0,26,0,20,0,6,0,0
10/3/2020,0,0,0,26,0,20,0,6,0,0
11/3/2020,0,0,0,26,0,20,0,6,0,0
12/3/2020,0,0,0,26,-2,18,2,8,0,0
13/3/2020,0,0,0,26,0,18,0,8,0,0
14/3/2020,1,0,1,27,1,19,0,8,0,0
15/3/2020,43,0,43,70,42,61,1,9,0,0
16/3/2020,34,0,34,104,34,95,0,9,0,0
17/3/2020,8,0,8,112,8,103,0,9,0,0
18/3/2020,5,0,5,117,0,103,5,14,0,0
19/3/2020,10,0,10,127,7,110,3,17,0,0
20/3/2020,16,0,16,143,13,123,3,20,0,0
21/3/2020,30,0,30,173,17,140,13,33,0,0
22/3/2020,17,0,17,190,10,150,6,39,1,1
23/3/2020,52,0,52,242,46,196,5,44,1,2
24/3/2020,15,0,15,257,10,206,5,49,0,2
25/3/2020,13,0,13,270,5,211,7,56,1,3
26/3/2020,51,0,51,321,48,259,3,59,0,3
27/3/2020,16,0,16,337,8,267,7,66,1,4
28/3/2020,7,0,7,344,-5,262,12,78,0,4
29/3/2020,28,0,28,372,13,275,13,91,2,6
30/3/2020,24,0,24,396,9,284,15,106,0,6
31/3/2020,34,0,34,430,26,310,6,112,2,8
1/4/2020,25,0,25,455,-8,302,31,143,2,10
2/4/2020,33,0,33,488,20,322,13,156,0,10
3/4/2020,55,0,55,543,44,366,11,167,0,10
4/4/2020,52,0,52,595,44,410,7,174,1,11
5/4/2020,27,0,27,622,26,436,0,174,1,12
6/4/2020,18,0,18,640,-14,422,32,206,0,12
7/4/2020,31,0,31,671,13,435,18,224,0,12
8/4/2020,14,0,14,685,-17,418,30,254,1,13
9/4/2020,14,0,14,699,11,429,3,257,0,13
10/4/2020,14,0,14,713,-55,374,67,324,2,15
11/4/2020,46,0,46,759,22,396,24,348,0,15
12/4/2020,44,0,44,803,37,433,7,355,0,15
13/4/2020,27,0,27,830,0,433,27,382,0,15
14/4/2020,69,0,69,899,19,452,49,431,1,16
15/4/2020,27,0,27,926,-13,439,39,470,1,17
16/4/2020,26,0,26,952,14,453,11,481,1,18
17/4/2020,19,0,19,971,1,454,17,498,1,19
18/4/2020,14,0,14,985,-16,438,29,527,1,20
19/4/2020,19,0,19,1004,-11,427,30,557,0,20
20/4/2020,4,0,4,1008,-5,422,9,566,0,20
21/4/2020,13,0,13,1021,-4,418,16,582,1,21
22/4/2020,16,0,16,1037,-9,409,25,607,0,21
23/4/2020,29,0,29,1066,-1,408,30,637,0,21
24/4/2020,49,0,49,1115,31,439,18,655,0,21
