DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,1,0,1,1,1,1,0,0,0,0
11/3/2020,0,0,0,1,0,1,0,0,0,0
12/3/2020,0,0,0,1,0,1,0,0,0,0
13/3/2020,0,0,0,1,0,1,0,0,0,0
14/3/2020,5,0,5,6,5,6,0,0,0,0
15/3/2020,6,0,6,12,6,12,0,0,0,0
16/3/2020,2,0,2,14,2,14,0,0,0,0
17/3/2020,3,0,3,17,3,17,0,0,0,0
18/3/2020,1,0,1,18,1,18,0,0,0,0
19/3/2020,2,0,2,20,2,20,0,0,0,0
20/3/2020,2,0,2,22,2,22,0,0,0,0
21/3/2020,0,0,0,22,-1,21,0,0,1,1
22/3/2020,1,0,1,23,1,22,0,0,0,1
23/3/2020,2,0,2,25,2,24,0,0,0,1
24/3/2020,6,0,6,31,6,30,0,0,0,1
25/3/2020,2,0,2,33,2,32,0,0,0,1
26/3/2020,0,0,0,33,0,32,0,0,0,1
27/3/2020,0,0,0,33,0,32,0,0,0,1
28/3/2020,9,0,9,42,9,41,0,0,0,1
29/3/2020,1,0,1,43,1,42,0,0,0,1
30/3/2020,7,0,7,50,7,49,0,0,0,1
31/3/2020,2,0,2,52,2,51,0,0,0,1
1/4/2020,11,0,11,63,11,62,0,0,0,1
2/4/2020,7,0,7,70,7,69,0,0,0,1
3/4/2020,3,0,3,73,3,72,0,0,0,1
4/4/2020,2,0,2,75,2,74,0,0,0,1
5/4/2020,14,0,14,89,14,88,0,0,0,1
6/4/2020,10,0,10,99,10,98,0,0,0,1
7/4/2020,4,0,4,103,4,102,0,0,0,1
8/4/2020,13,0,13,116,13,115,0,0,0,1
9/4/2020,3,0,3,119,2,117,0,0,1,2
10/4/2020,14,0,14,133,11,128,2,2,1,3
11/4/2020,8,0,8,141,-14,114,22,24,0,3
12/4/2020,3,0,3,144,0,114,3,27,0,3
13/4/2020,0,0,0,144,-4,110,4,31,0,3
14/4/2020,3,0,3,147,-1,109,3,34,1,4
15/4/2020,0,0,0,147,0,109,0,34,0,4
16/4/2020,0,0,0,147,-11,98,11,45,0,4
17/4/2020,1,0,1,148,0,98,1,46,0,4
18/4/2020,0,0,0,148,-3,95,3,49,0,4
19/4/2020,37,0,37,185,37,132,0,49,0,4
20/4/2020,2,0,2,187,-9,123,11,60,0,4
21/4/2020,1,0,1,188,-9,114,10,70,0,4
22/4/2020,1,0,1,189,-1,113,2,72,0,4
23/4/2020,0,0,0,189,-11,102,11,83,0,4
24/4/2020,1,2,3,192,2,104,1,84,0,4
25/4/2020,0,0,0,192,-17,87,17,101,0,4
