DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,2,2,2,2,2,0,0,0,0
6/2/2020,0,0,0,2,0,2,0,0,0,0
7/2/2020,0,0,0,2,0,2,0,0,0,0
8/2/2020,0,0,0,2,0,2,0,0,0,0
9/2/2020,0,0,0,2,0,2,0,0,0,0
10/2/2020,0,0,0,2,0,2,0,0,0,0
11/2/2020,0,0,0,2,0,2,0,0,0,0
12/2/2020,0,0,0,2,0,2,0,0,0,0
13/2/2020,0,0,0,2,0,2,0,0,0,0
14/2/2020,0,0,0,2,0,2,0,0,0,0
15/2/2020,0,0,0,2,0,2,0,0,0,0
16/2/2020,0,0,0,2,0,2,0,0,0,0
17/2/2020,0,0,0,2,-2,0,2,2,0,0
18/2/2020,0,0,0,2,0,0,0,2,0,0
19/2/2020,0,0,0,2,0,0,0,2,0,0
20/2/2020,0,0,0,2,0,0,0,2,0,0
21/2/2020,0,0,0,2,0,0,0,2,0,0
22/2/2020,0,0,0,2,0,0,0,2,0,0
23/2/2020,0,0,0,2,0,0,0,2,0,0
24/2/2020,0,0,0,2,0,0,0,2,0,0
25/2/2020,0,0,0,2,0,0,0,2,0,0
26/2/2020,0,0,0,2,0,0,0,2,0,0
27/2/2020,0,0,0,2,0,0,0,2,0,0
28/2/2020,0,0,0,2,0,0,0,2,0,0
29/2/2020,0,0,0,2,0,0,0,2,0,0
1/3/2020,0,0,0,2,0,0,0,2,0,0
2/3/2020,0,0,0,2,0,0,0,2,0,0
3/3/2020,0,0,0,2,0,0,0,2,0,0
4/3/2020,0,0,0,2,0,0,0,2,0,0
5/3/2020,0,0,0,2,0,0,0,2,0,0
6/3/2020,4,0,4,6,4,4,0,2,0,0
7/3/2020,0,0,0,6,0,4,0,2,0,0
8/3/2020,0,0,0,6,0,4,0,2,0,0
9/3/2020,0,1,1,7,1,5,0,2,0,0
10/3/2020,0,0,0,7,0,5,0,2,0,0
11/3/2020,0,0,0,7,0,5,0,2,0,0
12/3/2020,0,0,0,7,0,5,0,2,0,0
13/3/2020,4,0,4,11,4,9,0,2,0,0
14/3/2020,7,0,7,18,7,16,0,2,0,0
15/3/2020,17,0,17,35,17,33,0,2,0,0
16/3/2020,7,0,7,42,7,40,0,2,0,0
17/3/2020,3,0,3,45,3,43,0,2,0,0
18/3/2020,0,0,0,45,-1,42,1,3,0,0
19/3/2020,11,0,11,56,11,53,0,3,0,0
20/3/2020,9,0,9,65,9,62,0,3,0,0
21/3/2020,5,0,5,70,5,67,0,3,0,0
22/3/2020,8,0,8,78,7,74,1,4,0,0
23/3/2020,16,0,16,94,16,90,0,4,0,0
24/3/2020,15,0,15,109,15,105,0,4,0,0
25/3/2020,14,0,14,123,14,119,0,4,0,0
26/3/2020,9,0,9,132,9,128,0,4,0,0
27/3/2020,6,0,6,138,-4,124,10,14,0,0
28/3/2020,15,0,15,153,10,134,5,19,0,0
29/3/2020,9,0,9,162,-1,133,9,28,1,1
30/3/2020,10,0,10,172,1,134,9,37,0,1
31/3/2020,9,0,9,181,-5,129,13,50,1,2
1/4/2020,8,0,8,189,2,131,6,56,0,2
2/4/2020,18,0,18,207,14,145,3,59,1,3
3/4/2020,4,0,4,211,3,148,0,59,1,4
4/4/2020,9,0,9,220,5,153,4,63,0,4
5/4/2020,11,0,11,231,-5,148,16,79,0,4
6/4/2020,8,0,8,239,7,155,1,80,0,4
7/4/2020,22,0,22,261,21,176,0,80,1,5
8/4/2020,9,0,9,270,-6,170,15,95,0,5
9/4/2020,11,0,11,281,-43,127,54,149,0,5
10/4/2020,11,0,11,292,-1,126,12,161,0,5
11/4/2020,17,0,17,309,16,142,0,161,1,6
12/4/2020,9,0,9,318,-13,129,21,182,1,7
13/4/2020,42,0,42,360,42,171,0,182,0,7
14/4/2020,2,0,2,362,-10,161,12,194,0,7
15/4/2020,1,0,1,363,-35,126,36,230,0,7
16/4/2020,26,0,26,389,18,144,8,238,0,7
17/4/2020,13,0,13,402,3,147,10,248,0,7
18/4/2020,3,0,3,405,-7,140,10,258,0,7
19/4/2020,0,0,0,405,-5,135,5,263,0,7
20/4/2020,3,0,3,408,-2,133,5,268,0,7
21/4/2020,1,0,1,409,1,134,0,268,0,7
22/4/2020,2,0,2,411,-30,104,32,300,0,7
23/4/2020,20,0,20,431,18,122,2,302,0,7
24/4/2020,2,0,2,433,-10,112,12,314,0,7
25/4/2020,0,0,0,433,-1,111,1,315,0,7
