DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,2,0,2,2,2,2,0,0,0,0
14/3/2020,0,0,0,2,0,2,0,0,0,0
15/3/2020,9,0,9,11,9,11,0,0,0,0
16/3/2020,8,0,8,19,8,19,0,0,0,0
17/3/2020,9,0,9,28,9,28,0,0,0,0
18/3/2020,1,0,1,29,1,29,0,0,0,0
19/3/2020,3,0,3,32,3,32,0,0,0,0
20/3/2020,4,0,4,36,4,36,0,0,0,0
21/3/2020,1,0,1,37,1,37,0,0,0,0
22/3/2020,3,0,3,40,1,38,2,2,0,0
23/3/2020,16,0,16,56,15,53,1,3,0,0
24/3/2020,0,0,0,56,0,53,0,3,0,0
25/3/2020,8,0,8,64,7,60,1,4,0,0
26/3/2020,2,0,2,66,1,61,1,5,0,0
27/3/2020,4,0,4,70,4,65,0,5,0,0
28/3/2020,14,0,14,84,12,77,2,7,0,0
29/3/2020,12,0,12,96,12,89,0,7,0,0
30/3/2020,3,0,3,99,-9,80,12,19,0,0
31/3/2020,3,0,3,102,3,83,0,19,0,0
1/4/2020,9,0,9,111,8,91,1,20,0,0
2/4/2020,3,0,3,114,3,94,0,20,0,0
3/4/2020,13,0,13,127,11,105,2,22,0,0
4/4/2020,24,0,24,151,23,128,0,22,1,1
5/4/2020,7,0,7,158,7,135,0,22,0,1
6/4/2020,3,0,3,161,3,138,0,22,0,1
7/4/2020,5,0,5,166,5,143,0,22,0,1
8/4/2020,3,0,3,169,2,145,1,23,0,1
9/4/2020,14,0,14,183,14,159,0,23,0,1
10/4/2020,4,0,4,187,3,162,1,24,0,1
11/4/2020,27,0,27,214,19,181,8,32,0,1
12/4/2020,11,0,11,225,4,185,7,39,0,1
13/4/2020,0,0,0,225,-68,117,68,107,0,1
14/4/2020,11,0,11,236,11,128,0,107,0,1
15/4/2020,17,0,17,253,12,140,5,112,0,1
16/4/2020,8,0,8,261,-8,132,16,128,0,1
17/4/2020,1,0,1,262,-17,115,17,145,1,2
18/4/2020,2,0,2,264,-9,106,11,156,0,2
19/4/2020,5,0,5,269,-2,104,7,163,0,2
20/4/2020,2,0,2,271,-12,92,14,177,0,2
21/4/2020,8,0,8,279,2,94,6,183,0,2
22/4/2020,6,0,6,285,3,97,3,186,0,2
23/4/2020,1,0,1,286,0,97,0,186,1,3
24/4/2020,1,0,1,287,-5,92,6,192,0,3
25/4/2020,1,0,1,288,-5,87,6,198,0,3
