DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total)Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
1/25/2020,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0
3/6/2020,2,0,2,2,2,2,0,0,0,0
3/7/2020,0,0,0,2,0,2,0,0,0,0
3/8/2020,0,0,0,2,0,2,0,0,0,0
3/9/2020,0,0,0,2,0,2,0,0,0,0
3/10/2020,0,0,0,2,0,2,0,0,0,0
3/11/2020,0,0,0,2,0,2,0,0,0,0
3/12/2020,0,0,0,2,0,2,0,0,0,0
3/13/2020,5,0,5,7,5,7,0,0,0,0
3/14/2020,0,0,0,7,0,7,0,0,0,0
3/15/2020,5,0,5,12,5,12,0,0,0,0
3/16/2020,3,0,3,15,3,15,0,0,0,0
3/17/2020,8,0,8,23,8,23,0,0,0,0
3/18/2020,7,0,7,30,7,30,0,0,0,0
3/19/2020,2,0,2,32,2,32,0,0,0,0
3/20/2020,5,0,5,37,5,37,0,0,0,0
3/21/2020,13,0,13,50,13,50,0,0,0,0
3/22/2020,8,0,8,58,7,57,0,0,1,1
3/23/2020,8,0,8,66,8,65,0,0,0,1
3/24/2020,2,0,2,68,2,67,0,0,0,1
3/25/2020,2,0,2,70,2,69,0,0,0,1
3/26/2020,4,0,4,74,4,73,0,0,0,1
3/27/2020,6,0,6,80,6,79,0,0,0,1
3/28/2020,6,0,6,86,6,85,0,0,0,1
3/29/2020,1,0,1,87,1,86,0,0,0,1
3/30/2020,1,0,1,88,1,87,0,0,0,1
3/31/2020,6,0,6,94,6,93,0,0,0,1
4/1/2020,2,0,2,96,2,95,0,0,0,1
4/2/2020,2,0,2,98,2,97,0,0,0,1
4/3/2020,0,0,0,98,0,97,0,0,0,1
4/4/2020,1,0,1,99,1,98,0,0,0,1
4/5/2020,2,0,2,101,2,100,0,0,0,1
4/6/2020,0,0,0,101,0,100,0,0,0,1
4/7/2020,1,0,1,102,1,101,0,0,0,1
4/8/2020,6,0,6,108,6,107,0,0,0,1
4/9/2020,0,0,0,108,0,107,0,0,0,1
4/10/2020,1,0,1,109,1,108,0,0,0,1
4/11/2020,5,0,5,114,5,113,0,0,0,1
4/12/2020,2,0,2,116,2,115,0,0,0,1
4/13/2020,0,0,0,116,0,115,0,0,0,1
4/14/2020,3,0,3,119,3,118,0,0,0,1
4/15/2020,0,0,0,119,0,118,0,0,0,1
4/16/2020,0,0,0,119,0,118,0,0,0,1
4/17/2020,0,0,0,119,-100,18,100,100,0,1
4/18/2020,0,0,0,119,-2,16,2,102,0,1
4/19/2020,0,0,0,119,-1,15,1,103,0,1
