DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,2,0,2,2,2,2,0,0,0,0
14/3/2020,0,0,0,2,0,2,0,0,0,0
15/3/2020,9,0,9,11,9,11,0,0,0,0
16/3/2020,7,0,7,18,7,18,0,0,0,0
17/3/2020,5,0,5,23,5,23,0,0,0,0
18/3/2020,5,0,5,28,5,28,0,0,0,0
19/3/2020,7,0,7,35,7,35,0,0,0,0
20/3/2020,10,0,10,45,10,45,0,0,0,0
21/3/2020,10,0,10,55,10,55,0,0,0,0
22/3/2020,11,0,11,66,11,66,0,0,0,0
23/3/2020,15,0,15,81,15,81,0,0,0,0
24/3/2020,17,0,17,98,16,97,1,1,0,0
25/3/2020,30,0,30,128,30,127,0,1,0,0
26/3/2020,23,0,23,151,22,149,0,1,1,1
27/3/2020,8,0,8,159,8,157,0,1,0,1
28/3/2020,6,0,6,165,5,162,1,2,0,1
29/3/2020,11,0,11,176,10,172,0,2,1,2
30/3/2020,8,0,8,184,7,179,1,3,0,2
31/3/2020,5,0,5,189,5,184,0,3,0,2
1/4/2020,5,0,5,194,-8,176,13,16,0,2
2/4/2020,6,0,6,200,-14,162,20,36,0,2
3/4/2020,5,0,5,205,1,163,3,39,1,3
4/4/2020,2,0,2,207,-3,160,5,44,0,3
5/4/2020,6,0,6,213,-18,142,24,68,0,3
6/4/2020,6,0,6,219,-14,128,20,88,0,3
7/4/2020,14,0,14,233,14,142,0,88,0,3
8/4/2020,4,0,4,237,-38,104,42,130,0,3
9/4/2020,4,0,4,241,-2,102,6,136,0,3
10/4/2020,1,0,1,242,-14,88,15,151,0,3
11/4/2020,1,0,1,243,-13,75,13,164,1,4
12/4/2020,1,0,1,244,0,75,0,164,1,5
13/4/2020,3,0,3,247,-3,72,6,170,0,5
14/4/2020,3,0,3,250,-6,66,9,179,0,5
15/4/2020,0,0,0,250,-14,52,14,193,0,5
16/4/2020,1,0,1,251,-9,43,10,203,0,5
17/4/2020,1,0,1,252,-5,38,6,209,0,5
18/4/2020,0,0,0,252,-6,32,6,215,0,5
19/4/2020,0,0,0,252,0,32,0,215,0,5
20/4/2020,0,0,0,252,-6,26,6,221,0,5
21/4/2020,0,0,0,252,-1,25,1,222,0,5
22/4/2020,0,0,0,252,0,25,0,222,0,5
23/4/2020,0,0,0,252,-1,24,1,223,0,5
24/4/2020,0,0,0,252,-2,22,2,225,0,5
25/4/2020,0,0,0,252,-4,18,4,229,0,5
