DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
1/25/2020,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0,0,0,0
3/11/2020,0,0,0,0,0,0,0,0,0,0
3/12/2020,0,0,0,0,0,0,0,0,0,0
3/13/2020,1,0,1,1,1,1,0,0,0,0
3/14/2020,0,0,0,1,0,1,0,0,0,0
3/15/2020,5,0,5,6,5,6,0,0,0,0
3/16/2020,2,0,2,8,2,8,0,0,0,0
3/17/2020,0,0,0,8,0,8,0,0,0,0
3/18/2020,0,0,0,8,0,8,0,0,0,0
3/19/2020,1,0,1,9,1,9,0,0,0,0
3/20/2020,0,0,0,9,0,9,0,0,0,0
3/21/2020,0,0,0,9,0,9,0,0,0,0
3/22/2020,0,0,0,9,-1,8,0,0,1,1
3/23/2020,0,0,0,9,0,8,0,0,0,1
3/24/2020,0,0,0,9,0,8,0,0,0,1
3/25/2020,1,0,1,10,1,9,0,0,0,1
3/26/2020,0,0,0,10,0,9,0,0,0,1
3/27/2020,0,0,0,10,0,9,0,0,0,1
3/28/2020,0,0,0,10,0,9,0,0,0,1
3/29/2020,0,0,0,10,-2,7,2,2,0,1
3/30/2020,1,0,1,11,1,8,0,2,0,1
3/31/2020,1,0,1,12,-5,3,6,8,0,1
4/1/2020,0,0,0,12,0,3,0,8,0,1
4/2/2020,0,0,0,12,0,3,0,8,0,1
4/3/2020,0,0,0,12,0,3,0,8,0,1
4/4/2020,0,0,0,12,0,3,0,8,0,1
4/5/2020,1,0,1,13,1,4,0,8,0,1
4/6/2020,0,0,0,13,0,4,0,8,0,1
4/7/2020,4,0,4,17,4,8,0,8,0,1
4/8/2020,0,0,0,17,0,8,0,8,0,1
4/9/2020,0,0,0,17,0,8,0,8,0,1
4/10/2020,0,0,0,17,0,8,0,8,0,1
4/11/2020,0,0,0,17,0,8,0,8,0,1
4/12/2020,0,0,0,17,0,8,0,8,0,1
4/13/2020,0,0,0,17,0,8,0,8,0,1
4/14/2020,1,0,1,18,1,9,0,8,0,1
4/15/2020,0,0,0,18,0,9,0,8,0,1
4/16/2020,0,0,0,18,0,9,0,8,0,1
4/17/2020,0,0,0,18,0,9,0,8,0,1
4/18/2020,0,0,0,18,0,9,0,8,0,1
4/19/2020,0,0,0,18,0,9,0,8,0,1
