DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,1,0,1,1,1,1,0,0,0,0
11/3/2020,0,0,0,1,0,1,0,0,0,0
12/3/2020,0,0,0,1,0,1,0,0,0,0
13/3/2020,0,0,0,1,0,1,0,0,0,0
14/3/2020,0,0,0,1,-1,0,1,1,0,0
15/3/2020,1,0,1,2,1,1,0,1,0,0
16/3/2020,0,0,0,2,0,1,0,1,0,0
17/3/2020,0,0,0,2,0,1,0,1,0,0
18/3/2020,0,0,0,2,0,1,0,1,0,0
19/3/2020,0,0,0,2,0,1,0,1,0,0
20/3/2020,0,0,0,2,0,1,0,1,0,0
21/3/2020,0,0,0,2,0,1,0,1,0,0
22/3/2020,0,0,0,2,-1,0,1,2,0,0
23/3/2020,11,0,11,13,11,11,0,2,0,0
24/3/2020,2,0,2,15,1,12,1,3,0,0
25/3/2020,1,0,1,16,-1,11,2,5,0,0
26/3/2020,2,0,2,18,2,13,0,5,0,0
27/3/2020,2,0,2,20,2,15,0,5,0,0
28/3/2020,0,0,0,20,0,15,0,5,0,0
29/3/2020,2,0,2,22,2,17,0,5,0,0
30/3/2020,2,0,2,24,2,19,0,5,0,0
31/3/2020,2,0,2,26,2,21,0,5,0,0
1/4/2020,0,0,0,26,0,21,0,5,0,0
2/4/2020,8,0,8,34,7,28,1,6,0,0
3/4/2020,1,0,1,35,0,28,1,7,0,0
4/4/2020,1,0,1,36,-1,27,2,9,0,0
5/4/2020,1,0,1,37,1,28,0,9,0,0
6/4/2020,4,0,4,41,1,29,3,12,0,0
7/4/2020,2,0,2,43,2,31,0,12,0,0
8/4/2020,2,0,2,45,2,33,0,12,0,0
9/4/2020,2,0,2,47,2,35,0,12,0,0
10/4/2020,2,0,2,49,-4,31,6,18,0,0
11/4/2020,2,0,2,51,-3,28,5,23,0,0
12/4/2020,1,0,1,52,0,28,1,24,0,0
13/4/2020,2,0,2,54,2,30,0,24,0,0
14/4/2020,0,0,0,54,-3,27,3,27,0,0
15/4/2020,0,0,0,54,-3,24,3,30,0,0
16/4/2020,1,0,1,55,0,24,1,31,0,0
17/4/2020,0,0,0,55,-1,23,1,32,0,0
18/4/2020,0,0,0,55,-1,22,1,33,0,0
19/4/2020,9,0,9,64,8,30,1,34,0,0
20/4/2020,13,0,13,77,13,43,0,34,0,0
21/4/2020,0,0,0,77,0,43,0,34,0,0
22/4/2020,1,0,1,78,0,43,1,35,0,0
23/4/2020,0,0,0,78,0,43,0,35,0,0
24/4/2020,0,0,0,78,-5,38,5,40,0,0
25/4/2020,0,0,0,78,-6,32,6,46,0,0
