DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,15,0,15,15,15,15,0,0,0,0
14/3/2020,11,0,11,26,11,26,0,0,0,0
15/3/2020,21,0,21,47,21,47,0,0,0,0
16/3/2020,10,0,10,57,10,57,0,0,0,0
17/3/2020,25,0,25,82,25,82,0,0,0,0
18/3/2020,21,0,21,103,21,103,0,0,0,0
19/3/2020,9,0,9,112,9,112,0,0,0,0
20/3/2020,7,0,7,119,7,119,0,0,0,0
21/3/2020,17,0,17,136,16,135,0,0,1,1
22/3/2020,22,0,22,158,22,157,0,0,0,1
23/3/2020,11,0,11,169,11,168,0,0,0,1
24/3/2020,1,0,1,170,1,169,0,0,0,1
25/3/2020,0,0,0,170,0,169,0,0,0,1
26/3/2020,2,0,2,172,2,171,0,0,0,1
27/3/2020,10,0,10,182,10,181,0,0,0,1
28/3/2020,15,0,15,197,12,193,3,3,0,1
29/3/2020,0,0,0,197,0,193,0,3,0,1
30/3/2020,4,0,4,201,-4,189,8,11,0,1
31/3/2020,5,0,5,206,5,194,0,11,0,1
1/4/2020,3,0,3,209,2,196,1,12,0,1
2/4/2020,1,0,1,210,1,197,0,12,0,1
3/4/2020,5,0,5,215,5,202,0,12,0,1
4/4/2020,10,0,10,225,8,210,2,14,0,1
5/4/2020,13,0,13,238,12,222,0,14,1,2
6/4/2020,2,0,2,240,-33,189,35,49,0,2
7/4/2020,1,0,1,241,-10,179,11,60,0,2
8/4/2020,7,0,7,248,7,186,0,60,0,2
9/4/2020,0,0,0,248,-27,159,27,87,0,2
10/4/2020,2,0,2,250,-9,150,10,97,1,3
11/4/2020,10,0,10,260,3,153,7,104,0,3
12/4/2020,6,0,6,266,6,159,0,104,0,3
13/4/2020,14,0,14,280,14,173,0,104,0,3
14/4/2020,5,0,5,285,-12,161,16,120,1,4
15/4/2020,0,0,0,285,-5,156,5,125,0,4
16/4/2020,3,0,3,288,-18,138,21,146,0,4
17/4/2020,5,0,5,293,5,143,0,146,0,4
18/4/2020,10,0,10,303,-12,131,22,168,0,4
19/4/2020,3,0,3,306,3,134,0,168,0,4
20/4/2020,2,0,2,308,-20,114,22,190,0,4
21/4/2020,0,0,0,308,-1,113,1,191,0,4
22/4/2020,0,0,0,308,-12,101,12,203,0,4
23/4/2020,1,0,1,309,-1,100,2,205,0,4
24/4/2020,2,0,2,311,-1,99,3,208,0,4
25/4/2020,0,0,0,311,0,99,0,208,0,4
