DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,0,0,0,0,0,0,0,0,0,0
14/3/2020,6,0,6,6,6,6,0,0,0,0
15/3/2020,8,0,8,14,8,14,0,0,0,0
16/3/2020,7,0,7,21,7,21,0,0,0,0
17/3/2020,8,0,8,29,7,28,0,0,1,1
18/3/2020,20,0,20,49,20,48,0,0,0,1
19/3/2020,2,0,2,51,2,50,0,0,0,1
20/3/2020,7,0,7,58,7,57,0,0,0,1
21/3/2020,10,0,10,68,10,67,0,0,0,1
22/3/2020,8,0,8,76,7,74,0,0,1,2
23/3/2020,2,0,2,78,0,74,0,0,2,4
24/3/2020,5,0,5,83,5,79,0,0,0,4
25/3/2020,2,0,2,85,2,81,0,0,0,4
26/3/2020,10,0,10,95,10,91,0,0,0,4
27/3/2020,15,0,15,110,15,106,0,0,0,4
28/3/2020,8,0,8,118,6,112,2,2,0,4
29/3/2020,11,0,11,129,6,118,5,7,0,4
30/3/2020,6,0,6,135,3,121,1,8,2,6
31/3/2020,21,0,21,156,20,141,0,8,1,7
1/4/2020,32,0,32,188,32,173,0,8,0,7
2/4/2020,23,0,23,211,15,188,7,15,1,8
3/4/2020,28,0,28,239,28,216,0,15,0,8
4/4/2020,7,0,7,246,3,219,3,18,1,9
5/4/2020,15,0,15,261,13,232,0,18,2,11
6/4/2020,12,0,12,273,3,235,9,27,0,11
7/4/2020,15,0,15,288,8,243,7,34,0,11
8/4/2020,18,0,18,306,12,255,6,40,0,11
9/4/2020,6,0,6,312,-4,251,9,49,1,12
10/4/2020,15,0,15,327,14,265,1,50,0,12
11/4/2020,7,0,7,334,2,267,5,55,0,12
12/4/2020,8,0,8,342,7,274,0,55,1,13
13/4/2020,6,0,6,348,5,279,1,56,0,13
14/4/2020,15,0,15,363,13,292,2,58,0,13
15/4/2020,8,0,8,371,8,300,0,58,0,13
16/4/2020,16,0,16,387,11,311,5,63,0,13
17/4/2020,10,0,10,397,10,321,0,63,0,13
18/4/2020,6,0,6,403,4,325,2,65,0,13
19/4/2020,5,0,5,408,-5,320,10,75,0,13
20/4/2020,6,0,6,414,5,325,1,76,0,13
21/4/2020,22,0,22,436,18,343,3,79,1,14
22/4/2020,19,0,19,455,14,357,4,83,1,15
23/4/2020,4,0,4,459,-24,333,28,111,0,15
24/4/2020,3,6,9,468,-35,298,44,155,0,15
25/4/2020,9,1,10,478,10,308,0,155,0,15
