DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,1,1,1,1,1,0,0,0,0
30/1/2020,0,0,0,1,0,1,0,0,0,0
31/1/2020,0,0,0,1,0,1,0,0,0,0
1/2/2020,0,0,0,1,0,1,0,0,0,0
2/2/2020,0,0,0,1,0,1,0,0,0,0
3/2/2020,0,0,0,1,0,1,0,0,0,0
4/2/2020,0,1,1,2,1,2,0,0,0,0
5/2/2020,0,0,0,2,0,2,0,0,0,0
6/2/2020,0,0,0,2,0,2,0,0,0,0
7/2/2020,0,0,0,2,0,2,0,0,0,0
8/2/2020,0,0,0,2,0,2,0,0,0,0
9/2/2020,1,0,1,3,1,3,0,0,0,0
10/2/2020,0,1,1,4,1,4,0,0,0,0
11/2/2020,0,0,0,4,0,4,0,0,0,0
12/2/2020,0,0,0,4,0,4,0,0,0,0
13/2/2020,0,0,0,4,0,4,0,0,0,0
14/2/2020,0,0,0,4,0,4,0,0,0,0
15/2/2020,0,1,1,5,1,5,0,0,0,0
16/2/2020,0,0,0,5,0,5,0,0,0,0
17/2/2020,0,0,0,5,-1,4,1,1,0,0
18/2/2020,0,0,0,5,0,4,0,1,0,0
19/2/2020,0,0,0,5,-3,1,3,4,0,0
20/2/2020,0,0,0,5,0,1,0,4,0,0
21/2/2020,0,0,0,5,0,1,0,4,0,0
22/2/2020,0,0,0,5,0,1,0,4,0,0
23/2/2020,0,0,0,5,0,1,0,4,0,0
24/2/2020,0,0,0,5,0,1,0,4,0,0
25/2/2020,0,0,0,5,0,1,0,4,0,0
26/2/2020,0,0,0,5,0,1,0,4,0,0
27/2/2020,0,0,0,5,-1,0,1,5,0,0
28/2/2020,0,1,1,6,1,1,0,5,0,0
29/2/2020,0,0,0,6,0,1,0,5,0,0
1/3/2020,3,0,3,9,3,4,0,5,0,0
2/3/2020,0,0,0,9,0,4,0,5,0,0
3/3/2020,5,0,5,14,5,9,0,5,0,0
4/3/2020,10,0,10,24,10,19,0,5,0,0
5/3/2020,3,0,3,27,3,22,0,5,0,0
6/3/2020,10,0,10,37,10,32,0,5,0,0
7/3/2020,6,0,6,43,6,38,0,5,0,0
8/3/2020,6,0,6,49,5,43,1,6,0,0
9/3/2020,7,0,7,56,6,49,1,7,0,0
10/3/2020,10,0,10,66,10,59,0,7,0,0
11/3/2020,11,0,11,77,10,69,1,8,0,0
12/3/2020,9,0,9,86,5,74,4,12,0,0
13/3/2020,19,0,19,105,19,93,0,12,0,0
14/3/2020,5,0,5,110,2,95,3,15,0,0
15/3/2020,22,0,22,132,18,113,4,19,0,0
16/3/2020,12,0,12,144,12,125,0,19,0,0
17/3/2020,18,0,18,162,11,136,7,26,0,0
18/3/2020,30,0,30,192,25,161,5,31,0,0
19/3/2020,31,0,31,223,19,180,12,43,0,0
20/3/2020,40,0,40,263,32,212,8,51,0,0
21/3/2020,29,0,29,292,15,227,14,65,0,0
22/3/2020,17,0,17,309,4,231,13,78,0,0
23/3/2020,45,0,45,354,31,262,14,92,0,0
24/3/2020,27,0,27,381,10,272,17,109,0,0
25/3/2020,54,0,54,435,48,320,6,115,0,0
26/3/2020,75,0,75,510,70,390,5,120,0,0
27/3/2020,36,0,36,546,10,400,24,144,2,2
28/3/2020,33,0,33,579,16,416,17,161,0,2
29/3/2020,33,0,33,612,-1,415,34,195,0,2
30/3/2020,60,0,60,672,25,440,34,229,1,3
31/3/2020,32,0,32,704,8,448,23,252,1,4
1/4/2020,22,0,22,726,-24,424,46,298,0,4
2/4/2020,74,0,74,800,39,463,35,333,0,4
3/4/2020,63,0,63,863,26,489,36,369,1,5
4/4/2020,27,0,27,890,11,500,16,385,0,5
5/4/2020,53,0,53,943,53,553,0,385,0,5
6/4/2020,27,0,27,970,-80,473,107,492,0,5
7/4/2020,50,0,50,1020,8,481,42,534,0,5
8/4/2020,58,0,58,1078,39,520,19,553,0,5
9/4/2020,40,0,40,1118,40,560,0,553,0,5
10/4/2020,30,0,30,1148,-58,502,88,641,0,5
11/4/2020,35,0,35,1183,5,507,29,670,1,6
12/4/2020,53,0,53,1236,25,532,28,698,0,6
13/4/2020,13,0,13,1249,-30,502,43,741,0,6
14/4/2020,50,0,50,1299,19,521,30,771,1,7
15/4/2020,17,0,17,1316,-19,502,36,807,0,7
16/4/2020,13,0,13,1329,-13,489,26,833,0,7
17/4/2020,9,0,9,1338,-38,451,47,880,0,7
18/4/2020,2,0,2,1340,-27,424,28,908,1,8
19/4/2020,3,0,3,1343,-32,392,35,943,0,8
20/4/2020,2,0,2,1345,-16,376,18,961,0,8
21/4/2020,11,0,11,1356,-2,374,12,973,1,9
22/4/2020,1,0,1,1357,-19,355,20,993,0,9
23/4/2020,12,0,12,1369,-1,354,13,1006,0,9
24/4/2020,16,2,18,1387,-2,352,19,1025,1,10
