DATE,(Local)Daily New Cases,(Import)Daily New Cases,(Sub-Total) Daily Cases,(Total) Daily New Cases,Active Cases,(Total) Active Cases,Daily Recovered Cases,(Total) Recovered,Daily Death,(Total)Daily Death
25/1/2020,0,0,0,0,0,0,0,0,0,0
26/1/2020,0,0,0,0,0,0,0,0,0,0
27/1/2020,0,0,0,0,0,0,0,0,0,0
28/1/2020,0,0,0,0,0,0,0,0,0,0
29/1/2020,0,0,0,0,0,0,0,0,0,0
30/1/2020,0,0,0,0,0,0,0,0,0,0
31/1/2020,0,0,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0,0,0
4/2/2020,0,0,0,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0,0,0,0
8/2/2020,0,0,0,0,0,0,0,0,0,0
9/2/2020,0,0,0,0,0,0,0,0,0,0
10/2/2020,0,0,0,0,0,0,0,0,0,0
11/2/2020,0,0,0,0,0,0,0,0,0,0
12/2/2020,0,0,0,0,0,0,0,0,0,0
13/2/2020,0,0,0,0,0,0,0,0,0,0
14/2/2020,0,0,0,0,0,0,0,0,0,0
15/2/2020,0,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0,0
19/2/2020,0,0,0,0,0,0,0,0,0,0
20/2/2020,0,0,0,0,0,0,0,0,0,0
21/2/2020,0,0,0,0,0,0,0,0,0,0
22/2/2020,0,0,0,0,0,0,0,0,0,0
23/2/2020,0,0,0,0,0,0,0,0,0,0
24/2/2020,0,0,0,0,0,0,0,0,0,0
25/2/2020,0,0,0,0,0,0,0,0,0,0
26/2/2020,0,0,0,0,0,0,0,0,0,0
27/2/2020,0,0,0,0,0,0,0,0,0,0
28/2/2020,0,0,0,0,0,0,0,0,0,0
29/2/2020,0,0,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0,0,0
4/3/2020,0,0,0,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0,0,0,0
8/3/2020,0,0,0,0,0,0,0,0,0,0
9/3/2020,0,0,0,0,0,0,0,0,0,0
10/3/2020,0,0,0,0,0,0,0,0,0,0
11/3/2020,0,0,0,0,0,0,0,0,0,0
12/3/2020,0,0,0,0,0,0,0,0,0,0
13/3/2020,0,0,0,0,0,0,0,0,0,0
14/3/2020,0,0,0,0,0,0,0,0,0,0
15/3/2020,2,0,2,2,2,2,0,0,0,0
16/3/2020,2,0,2,4,2,4,0,0,0,0
17/3/2020,3,0,3,7,3,7,0,0,0,0
18/3/2020,3,0,3,10,3,10,0,0,0,0
19/3/2020,1,0,1,11,1,11,0,0,0,0
20/3/2020,9,0,9,20,9,20,0,0,0,0
21/3/2020,7,0,7,27,7,27,0,0,0,0
22/3/2020,5,0,5,32,5,32,0,0,0,0
23/3/2020,6,0,6,38,6,38,0,0,0,0
24/3/2020,0,0,0,38,0,38,0,0,0,0
25/3/2020,0,0,0,38,0,38,0,0,0,0
26/3/2020,1,0,1,39,1,39,0,0,0,0
27/3/2020,2,0,2,41,2,41,0,0,0,0
28/3/2020,4,0,4,45,4,45,0,0,0,0
29/3/2020,2,0,2,47,2,47,0,0,0,0
30/3/2020,0,0,0,47,0,47,0,0,0,0
31/3/2020,0,0,0,47,0,47,0,0,0,0
1/4/2020,1,0,1,48,1,48,0,0,0,0
2/4/2020,2,0,2,50,2,50,0,0,0,0
3/4/2020,18,0,18,68,18,68,0,0,0,0
4/4/2020,6,0,6,74,6,74,0,0,0,0
5/4/2020,10,0,10,84,10,84,0,0,0,0
6/4/2020,6,0,6,90,5,89,0,0,1,1
7/4/2020,0,0,0,90,0,89,0,0,0,1
8/4/2020,3,0,3,93,3,92,0,0,0,1
9/4/2020,5,0,5,98,5,97,0,0,0,1
10/4/2020,3,0,3,101,-15,82,18,18,0,1
11/4/2020,1,0,1,102,1,83,0,18,0,1
12/4/2020,0,0,0,102,0,83,0,18,0,1
13/4/2020,4,0,4,106,1,84,3,21,0,1
14/4/2020,0,0,0,106,-1,83,1,22,0,1
15/4/2020,0,0,0,106,0,83,0,22,0,1
16/4/2020,2,0,2,108,-1,82,3,25,0,1
17/4/2020,0,0,0,108,-1,81,1,26,0,1
18/4/2020,1,0,1,109,-11,70,12,38,0,1
19/4/2020,0,0,0,109,0,70,0,38,0,1
20/4/2020,0,0,0,109,-7,63,7,45,0,1
21/4/2020,0,0,0,109,-3,60,3,48,0,1
22/4/2020,0,0,0,109,-3,57,3,51,0,1
23/4/2020,1,0,1,110,0,57,1,52,0,1
24/4/2020,0,0,0,110,-3,54,3,55,0,1
25/4/2020,0,0,0,110,0,54,0,55,0,1
